=== IRV Election ===
==== Candidates ====
> Joe (D)
> Donald (R)
> Michael (G)
> Hillary (D)
> Alex (I)
> Ye (Y)
> Ron (R)
==== Ballots ====
> [1, 2, 3, 4, 5, 6, 7]
> [1, 2, 3, 4, 5, 6, 7]
> [3, 1, 5, 6, 7, 2, 4]
> [5, 6, 7, 2, 1, 4, 3]
> [1, 5, 6, 7, 4, 3, 2]
> [3, 4, 5, 6, 7, 2, 1]
> [1, 4, 5, 6, 7, 3, 2]
> [2, 5, 6, 7, 4, 3, 1]
> [1, 2, 4, 5, 6, 7, 3]
> [5, 6, 7, 3, 1, 2, 4]
> [2, 5, 6, 7, 3, 4, 1]
> [5, 6, 7, 1, 2, 4, 3]
> [3, 2, 1, 5, 6, 7, 4]
> [1, 2, 4, 3, 5, 6, 7]
> [1, 3, 4, 2, 5, 6, 7]
> [5, 6, 7, 3, 2, 4, 1]
> [5, 6, 7, 1, 4, 3, 2]
> [2, 5, 6, 7, 4, 3, 1]
> [1, 5, 6, 7, 2, 4, 3]
> [3, 1, 2, 5, 6, 7, 4]
> [1, 5, 2, 6, 4, 7, 3]
==== First Pass Results ====
Current Quota: 5
> Joe (D): 9
> Donald (R): 2
> Michael (G): 1
> Hillary (D): 2
> Alex (I): 2
> Ye (Y): 0
> Ron (R): 5
==== Winners ====
> Joe (D): 9
> Ron (R): 9
> Donald (R): 2
> Michael (G): 1
